file_name,product_name,description,taste,volume
6bfb2591841bd56878dd0cd95f16801f.jpg,リアルゴールド ウルトラチャージ レモン,レモン味のエナジードリンク,レモン,500ml
7a8ab94f37f772146862ec5ea473e483.jpg",ガツンゴールド,アルギニンとガラナエキスを含むエナジードリンク,不明,190ml
7df963599ea493417fac242febb1247e.jpg",ミラクルエナジー,カフェイン、アルギニン、タウリンを含むエナジードリンク,不明,250ml
7ff09cd63e14ced282b236a51691e30e.jpg",キヴァ エナジードリンク,カフェイン、アルギニン、ガラナを含む水分補給エナジードリンク,不明,500ml
8aef643c4060b98dfca66a3c3fcf32dd.jpg",クラフトエナジー N1,天然成分を使用したクラフトエナジードリンク,不明,330ml
025a1ade388b87c33dcd2abcf3475f4d.jpg",エナジードリンク,マカ、カフェイン、アルギニンを含むエナジードリンク,不明,250ml
30f89f30efaa4850a307d0980fcdea88.jpg",キリン メッツ アルギニンV,アルギニンとビタミンCを含む炭酸エナジードリンク,不明,250ml
51BUeLEeFtL._AC_SL1500_.jpg",マッチ,ビタミンとミネラルを含むドリンク,不明,500ml
51ELo6J8aVL.AC_SL1000.jpg ,ファンタ オレンジ,オレンジ味のソーダ,オレンジ,500ml
51EWaAkVoOL.AC_SL1200.jpg ,ZAO ソーダライム,ライム味の強炭酸水,ライム,500ml
51FH3ldKeJL.AC_SL1000.jpg ,ファンタ オレンジ缶,缶入りのオレンジ味ソーダ。,オレンジ,350ml
51hXLe9frcL.AC_SL1000.jpg,カナダドライ ジンジャーエール,さわやかな味のジンジャーエール。,ジンジャー,500ml
51O1mh9DyOL.AC_SL1280.jpg,ダブルレモン,ダブルレモンの内容量を持つレモンドリンク。,レモン,500ml
51Q4X10PAKL.AC_SL1000.jpg,コカ・コーラ オリジナルテイスト,デアデビルとオリジナルテイストのコカ・コーラ。,コーラ,500ml
51vfLYhUo1L.AC_SL1000.jpg,富士強炭酸水,グレープフルーツ味の炭酸水。,グレープフルーツ,500ml
51Xj+bjALeL.AC_SL1000.jpg,ドクターペッパー,20種類のフレーバーをブレンドしたソフトドリンク。,ユニーク,500ml
51YvroVlppL.AC_SL1280.jpg,キレートレモン,高ビタミンC含有のレモンドリンク。,レモン,500ml
61DiGbvnLBL.AC_SL1500.jpg,ウィルキンソン梅,梅味の炭酸水。,梅,500ml
61FPdkKgvkS.AC_SL1500.jpg,シークワーサソーダ,沖縄産シークワーサのソーダと蜂蜜。,シトラス,350ml
61hcMa1rBrL.AC_SL1000.jpg,リアルゴールド缶,ローヤルゼリーエキスを含むエナジードリンク。,不明,190ml
61hPX3JwP-L.AC_SL1500.jpg,乳酸菌ソーダ,乳酸菌入りのヨーグルト味ソーダ。,ヨーグルト,500ml
61wPDr5JKvL.AC_SL1500.jpg,三ツ矢サイダー,クラシック三ツ矢サイダー。,サイダー,500ml
71A6peFjBoL.AC_SL1500.jpg,カナダドライ トニックウォーター,ほのかな苦味のあるトニックウォーター。,トニック,500ml
71AGNrVcLPL.AC_SL1500.jpg,モンスターエナジー,アルギニンと高麗人参を含むエナジードリンク。,不明,500ml
71BPzc6hRiL.AC_SY741_PIbundle-30,TopRight,0,0_SH20.jpg,ファイバー スカッシュ ナチュラルブースト,食物繊維を含む炭酸飲料。,不明,250ml
71D9oFXHRqL.AC_SL1500.jpg,三ツ矢サイダーゼロ,無糖・無カロリーの三ツ矢サイダー。,サイダー,500ml
71DfsfZWiqL.AC_SL1500.jpg,マウンテンデュー,柑橘系フレーバーの炭酸ソフトドリンク。,シトラス,350ml
71-dGxMeeeL.AC_SL1500.jpg,三ツ矢レモンサイダー140,強炭酸のレモンサイダー。,レモン,500ml
71I9xmXiliL.AC_SL1500.jpg,特濃ピーチスカッシュ,濃厚でおいしい桃味の飲み物。,ピーチ,500ml
71iscOJNjyL._AC_SL1500_.jpg,ブルーサイダー,リフレッシュできる味のブルーサイダー。,サイダー,600ml
71jXfV71G0L._AC_SL1500_.jpg,特濃オレンジスカッシュ,ビタミンC入りの濃厚でおいしいオレンジ味の飲み物。,オレンジ,500ml
71nzZtYCVaL._AC_SL1500_.jpg,洋梨フレーバー炭酸水,洋梨フレーバーの炭酸天然水。,洋梨,500ml
71p9kdJQF3L._AC_SL1130_.jpg,キリン メッツ アルギニンV,アルギニンとビタミンCを含む炭酸エナジードリンク。,不明,250ml
71PHQ9j6YEL._AC_SL1500_.jpg,フルーツミックスブースト,混合フルーツ味のエナジードリンク。,ミックスフルーツ,500ml
71S3+5ykTEL._AC_SL1500_.jpg,ウィルキンソンヘルシータンサンエクストラ,脂肪と糖の吸収を抑える食物繊維入りの炭酸水。,不明,500ml
71VGB0ILBEL._AC_SL1500_.jpg,C.C.レモン,40個分のレモンのビタミンCを含むレモン味の飲み物。,レモン,500ml
71WOM9cVJlL._AC_SL1500_.jpg,サントリー天然水スパークリング,モーニングレモンフレーバーの強炭酸水。,レモン,500ml
71Xdt6YoPwL._AC_SL1500_.jpg,オランジーナエアリー,日本でボトリングされたフランスのオレンジソーダ。,オレンジ,350ml
71xe02JhXyL._AC_SL1500_.jpg,おふれもんミックス柚子,柚子味のリラックスレモンミックスソーダ。,レモン柚子,450ml
71xEGqRyRBL._AC_SL1500_.jpg,ウィルキンソン炭酸,クラシックウィルキンソン炭酸水。,炭酸水,500ml
71Z2FZ56cSL._AC_SL1500_.jpg,カルピスソーダ メロンクリームソーダ,バニラアイスが溶け込んだメロンクリームソーダ風味のカルピスソーダ。,メロン, バニラ,500ml
71zcmlX3pUL._AC_SL1500_.jpg,三ツ矢 芳醇南高梅,和歌山県産の南高梅を使用した芳醇な味わいの炭酸飲料。,梅,500ml
81+WNTqiJPL._AC_SL1500_.jpg,サンガリア 炭酸水,純粋な炭酸水、無糖、無香料、無着色。,無味,500ml
81i5FGCtsiL._AC_SL1500_.jpg,三ツ矢 特濃グレープスカッシュ,濃厚なグレープ風味の三ツ矢サイダー。,グレープ,500ml
81J0sTu3wHL._AC_SL1500_.jpg,ウィルキンソン アップル＆トニック,爽快なアップルとトニックの味わいが楽しめる炭酸飲料。,アップル, トニック,500ml
81L+A8M2ysL._AC_SL1500_.jpg,三ツ矢 特濃アップルスカッシュ,濃厚なアップル風味の三ツ矢サイダー。,アップル,500ml
81Md3Kof6mL._AC_SL1500_.jpg,ペプシ BIG ZERO,ゼロカロリーのペプシコーラ。,コーラ,600ml
81MTLzdZWUL._AC_SL1500_.jpg,ペプシ BIG COLA,濃厚なコーラ風味のペプシ。,コーラ,600ml
81OmrJAPMfL._AC_SL1500_.jpg,ライフガード,エナジードリンク風の炭酸飲料。,ミックスフルーツ,350ml
81pUuU8l5US._AC_SL1500_.jpg,ホワイトクリームソーダ,ヨーグルト風味の炭酸飲料。,ヨーグルト,350ml
81PVsRIXfLL._AC_SL1500_.jpg,カルピスソーダ,心地よいのどごしのカルピスソーダ。,カルピス,350ml
81qr2IjkezL._AC_SL1500_.jpg,ドデカミン,12種類の元気成分を配合したエナジードリンク。,ミックスフルーツ,500ml
81wh426bMqL._AC_SL1500_.jpg,デカビタC ゼロ,マルチビタミンを配合したゼロカロリーのエナジードリンク。,ビタミンC, B6,500ml
81Wx7LBPXFL._AC_SL1500_.jpg,デカビタC,ビタミンB6とC、ローヤルゼリーエキス配合のエナジードリンク。,ビタミンB6, C,500ml
81X6Qiiu9aL._AC_SL1500_.jpg,ドデカミンmini,ミニサイズのエナジードリンク。,ミックスフルーツ,350ml
436dbd658d9c94c2f9a1ad6f4b25940a.jpg,ゾーン Utopia,デジタルパフォーマンスエナジードリンク。,フルーツ,500ml
460b4dc02fcf59cd2e59e73420f8c236.jpg,デカラ PRO,整う気分のためのエナジードリンク。,ミックスフルーツ,500ml
612wjpvo2OL._AC_SL1500_.jpg,カルピスソーダ 国産メロンのクリームソーダ,バニラアイスを加えた国産メロンのクリームソーダ,メロンバニラ,500ml
615jditUuGL._AC_SL1500_.jpg,カルピスソーダ,心地よいのどごしのカルピスソーダ,カルピス,500ml
615sbOuYatL._AC_SL1500_.jpg,キリン メッツ超刺激コーラ,中性脂肪が気になる方におすすめのゼロカロリーコーラ,コーラ,480ml
616GmvVIsKL._AC_SL1500_.jpg,サイダーゼロ,糖類・カロリーゼロの炭酸飲料,サイダー,350ml
514sWdpH8SL._AC_SL1000_.jpg,コカ・コーラ プラス,食事から摂取した脂肪の吸収を抑えるゼロカロリーコーラ,コーラ,470ml
607b03f970bb18e1c566677b7cec4887.jpg,ドデカミン ストロング,元気が出るビタミン飲料、カフェイン配合,エナジードリンク,210ml
610O7XB6RtS._AC_SL1500_.jpg,コーラゼロ,ロサンゼルス サンシャインのゼロカロリーコーラ,コーラ,350ml
619uFTlQxqL._AC_SL1378_.jpg,POM グレープ スパークリング,深い味わいとすっきりした後味が特徴のグレープスパークリングです。,グレープ,500ml
713kFdkv-BL._AC_SL1500_.jpg,オランジーナ エアリー,軽やかな炭酸とオレンジの風味が楽しめるエアリーソーダです。,オレンジ,420ml
715EocKqJtL._AC_SL1500_.jpg,ウィルキンソン タンサン,シンプルな炭酸水で、すっきりとした味わいが特徴です。,炭酸水,500ml
817d6XFZjRL._AC_SL1500_.jpg,キリン ヨサソーダ,優しい炭酸とシンプルな味わいが楽しめるソーダです。,炭酸水,350ml
818OClOXYSL._AC_SL1500_.jpg,サンガリア 梅ソーダ,和歌山県産の紀州梅を使用した爽やかな梅ソーダです。,梅,350ml
910KpMdiiZL._AC_SL1500_.jpg,ウィルキンソン タンサン ライチ&トニック,ライチとトニックの爽やかな味わいが特徴の炭酸飲料です。,ライチ&トニック,350ml
5196OinQQAL._AC_SL1000_.jpg,ファンタ グレープ,ぶどうの風味が楽しめる炭酸飲料です。,グレープ,500ml
c937d777a11c930aa31caa88e476e11c.jpg,Ziggurro,アミノ酸とローヤルゼリーを含むエネルギードリンク。,ミックスフルーツのフレーバー,500ml
cc0e8ded9a6a7fd0c2db953a39883269.jpg,Energy Gym Strong,5種類のアミノ酸とビタミンを含むエネルギードリンク。,柑橘系のフレーバー,250ml
df839f36ff34a2cb3cb0734b31452e27.jpg,Coca-Cola Energy,コカ・コーラの味にガラナエキスとビタミンを追加したエネルギードリンク。,コーラ風味,250ml
edf127fe9441cdfe916a5a841293ce37.jpg,Freedom Energy,強炭酸とカフェインを含むエネルギードリンク。,ミントとライムのフレーバー,500ml
f8f44475278bbe87b4ae1a298200d024.jpg,Extreme Energy,パフォーマンスをサポートするためのエネルギードリンク。,トロピカルフルーツのフレーバー,250ml
se-sake_19896w24.jpg,Red Bull,高カフェインを含む人気のエネルギードリンク。,ブルーベリー風味,250ml
54326ea154e9765bd4feda163c02eb70.jpg,Red Bull White Edition,爽やかな風味のホワイトエディションエネルギードリンク。,ライトなフルーツ風味,250ml
a60ab5ceb646e6869101a7e1d7c15d74.jpg,Godzilla Energy,ゴジラをテーマにしたエネルギードリンク。,チェリー風味,250ml
aeaa3d0e92bddd62d5057363132ab106.jpg,Real Gold,ビタミンCとアスパラギン酸を含むエネルギードリンク。,柑橘系のフレーバー,190ml